"Virus","HostOrder","vFamily","vSegmentedTF","vCytoReplicTF","vGenomeAveLength","vEnvelope","vSSoDS","IsZoonotic"
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","rodentia","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","rodentia","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","perissodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","rodentia","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","rodentia","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","rodentia","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","perissodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","perissodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","perissodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
